nombre;descripcion
Pico de Kulu-Ya-Ku;Material de Kulu-Ya-Ku, obtenido al romperle el cráneo. Útil para hacer armas por su dureza.
Pico de Kulu-Ya-Ku+;Raro material de Kulu-Ya-Ku, obtenido al romperle el cráneo. Duro y útil para crear muchas armas.
Gran pico Kulu-Ya-Ku;Material muy raro de Kulu-Ya-Ku, obtenido al romperle el cráneo. Duro y útil para crear muchas armas.
Escama de Pukei-Pukei;Material de Pukei-Pukei, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Escama de Pukei-Pukei+;Raro material de Pukei-Pukei. Obtenido cortando al monstruo tras abatirlo, de usos muy diversos.
Esquirla de Pukei-Pukei;Material muy raro de Pukei-Pukei. Obtenido cortando al monstruo tras abatirlo, de usos muy diversos.
Caparazón de Pukei-Pukei;Material de Pukei-Pukei, recibido sobre todo como recompensa. Sólido, útil para crear equipo.
Coraza de Pukei-Pukei;Raro material de Pukei-Pukei, obtenido sobre todo como recompensa, útil para crear equipo.
Córtex de Pukei-Pukei;Material muy raro de Pukei-Pukei, obtenido sobre todo como recompensa. Sólido, para equipo.
Péndola de Pukei-Pukei;Material de Pukei-Pukei, obtenido al romperle las alas. Tiene muchas propiedades.
Ala de Pukei-Pukei;Raro material de Pukei-Pukei, obtenido al romperle las alas. Tiene muchas propiedades.
Aladura de Pukei-Pukei;Material muy raro de Pukei-Pukei, obtenido al romperle las alas. Tiene muchas propiedades.
Vesícula de Pukei-Pukei;Material de Pukei-Pukei, obtenido al romperle el cráneo. Añade propiedades venenosas.
Vesícula de Pukei-Pukei+;Raro material de Pukei-Pukei, obtenido sobre todo al romperle el cráneo. Añade propiedades venenosas.
Vesícula grande de Pukei-Pukei;Material muy raro de Pukei-Pukei, obtenido sobre todo al romperle el cráneo. Añade propiedades venenosas.
Cola de Pukei-Pukei;Raro material de Pukei-Pukei, obtenido cortando su cola cercenada. Raro, para equipo muy selecto.
Látigo de Pukei-Pukei;Material muy raro de Pukei-Pukei, obtenido cortando su cola cercenada. Raro, para equipo muy selecto.
Esquirla de Pukei-Pukei Coralino;Material muy raro de Pukei-Pukei Coralino. Obtenido cortando al monstruo tras abatirlo, de usos muy diversos.
Córtex de Pukei-Pukei Coralino;Material muy raro de Pukei-Pukei Coralino, obtenido sobre todo como recompensa. Útil para crear equipo.
Aladura de Pukei-Pukei Coralino;Material muy raro de Pukei-Pukei Coralino, obtenido al romperle las alas. Tiene muchas propiedades.
Vesícula gr. Pukei-Pukei Coralino;Material muy raro de Pukei-Pukei Coralino, hallado sobre todo rompiendo su cráneo. Da propiedades de agua.
Látigo de Pukei-Pukei Coralino;Material muy raro de Pukei-Pukei Coralino, obtenido de su cola cortada. Raro, para equipo muy selecto.
Caparazón de Barroth;Material de Barroth, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Coraza de Barroth;Raro material de Barroth. Obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Córtex de Barroth;Material muy raro de Barroth. Obtenido sobre todo cortándolo tras abatirlo. De usos muy diversos.
Cresta de Barroth;Material de Barroth, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Cresta de Barroth+;Raro material de Barroth, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Espinazo de Barroth;Material muy raro de Barroth, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Garra de Barroth;Material de Barroth, obtenido sobre todo al romperle las patas delanteras. Robusto, parte de muchas armas.
Garra de Barroth+;Raro material de Barroth, obtenido al romperle las patas delanteras. Robusto, parte de muchas armas.
Garra dura de Barroth;Material muy raro de Barroth, obtenido de las patas delanteras. Robusto, parte de muchas armas.
Cuero cabelludo de Barroth;Material de Barroth, a menudo obtenido rompiéndole el cráneo. Muy tenaz, útil para crear armas.
Corona de Barroth;Material muy raro de Barroth, obtenido rompiéndole el cráneo. Muy tenaz, útil para crear armas.
Cola de Barroth;Material de Barroth, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Látigo de Barroth;Material muy raro de Barroth, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Barro fértil;Material de Barroth obtenido tras retirar el lodo que lo recubre. Poco común, para equipo de calidad.
Barro enriquecido;Material muy raro de Barroth, obtenido del lodo que lo recubre. Poco común, para equipo de calidad.
Escama de Jyuratodus;Material de Jyuratodus, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas propiedades.
Escama de Jyuratodus+;Raro material de Jyuratodus, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas propiedades.
Esquirla de Jyuratodus;Material muy raro de Jyuratodus, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas propiedades.
Caparazón de Jyuratodus;Material de Jyuratodus, obtenido sobre todo como recompensa. Robusto, parte de muchas armas.
Coraza de Jyuratodus;Raro material de Jyuratodus, obtenido sobre todo como recompensa. Robusto, parte de muchas armas.
Córtex de Jyuratodus;Material muy raro de Jyuratodus, obtenido sobre todo como recompensa. Robusto, útil para crear equipo.
Colmillo de Jyuratodus;Material de Jyuratodus, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Colmillo de Jyuratodus+;Raro material de Jyuratodus, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Colmillo duro de Jyuratodus;Material muy raro de Jyuratodus, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Aleta de Jyuratodus;Material de Jyuratodus, obtenido al romperle el lomo. Tiene muchas propiedades.
Aleta de Jyuratodus+;Raro material de Jyuratodus, obtenido al romperle el lomo. Tiene muchas propiedades.
Gran aleta de Jyuratodus;Material muy raro de Jyuratodus, obtenido al romperle el lomo. Tiene muchas propiedades.
Esquirla de Beotodus;Material muy raro de Beotodus, obtenido sobre todo tras abatirlo. Tiene muchas propiedades.
Córtex de Beotodus;Material muy raro de Beotodus, obtenido sobre todo como recompensa. Sólido. Se usa para crear equipo.
Asta de Beotodus;Material muy raro de Beotodus, obtenido rompiéndole el cráneo. Afilado. Útil para crear armas.
Gran aleta de Beotodus;Material muy raro de Beotodus, obtenido rompiéndole el lomo. Tiene muchas propiedades.
Escama de Tobi-Kadachi;Material de Tobi-Kadachi. Obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Escama de Tobi-Kadachi+;Raro material de Tobi-Kadachi. Obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de Tobi-Kadachi;Material muy raro de Tobi-Kadachi. Obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Piel de Tobi-Kadachi;Material de Tobi-Kadachi, obtenido sobre todo como recompensa. Muy resistente al rayo.
Piel de Tobi-Kadachi+;Raro material de Tobi-Kadachi, obtenido sobre todo como recompensa. Muy resistente al rayo.
Pelaje de Tobi-Kadachi;Material muy raro de Tobi-Kadachi, obtenido sobre todo como recompensa. Resistente al rayo, usado en equipo.
Membrana de Tobi-Kadachi;Material de Tobi-Kadachi, obtenido sobre todo cortándolo tras abatirlo. Flexible, muy práctico para equipo.
Membrana de Tobi-Kadachi+;Material muy raro de Tobi-Kadachi, obtenido cortándolo tras abatirlo. Flexible y práctico para equipo.
Garra de Tobi-Kadachi;Material de Tobi-Kadachi, obtenido rompiendo sus patas delanteras. Afilado y útil para crear armas.
Garra de Tobi-Kadachi+;Raro material de Tobi-Kadachi, obtenido cortándolo tras abatirlo. Afilado y útil para crear armas.
Garra dura de Tobi-Kadachi;Material muy raro de Tobi-Kadachi, obtenido de sus patas delanteras. Afilado y útil para crear armas.
Electrodo de Tobi-Kadachi;Material de Tobi-Kadachi, obtenido al romperle el cráneo. Añade propiedades de rayo.
Electrodo de Tobi-Kadachi+;Raro material de Tobi-Kadachi, obtenido al romperle el cráneo. Añade propiedades de rayo.
Cátodo de Tobi-Kadachi;Material muy raro de Tobi-Kadachi, obtenido al romperle el cráneo. Añade propiedades de rayo.
Esquirla de Tobi-Kadachi Vípero;Material muy raro de Tobi-Kadachi Vípero. Obtenido cortándolo tras abatirlo. Tiene usos muy diversos.
Pelaje de Tobi-Kadachi Vípero;Material muy raro de Tobi-Kadachi Vípero obtenido sobre todo como recompensa. Muy resistente al agua.
Membrana Tobi-Kadachi Vípero+;Material muy raro de Tobi-Kadachi Vípero, obtenido cortándolo tras abatirlo. Muy práctico para equipo.
Garra dura de Tobi-Kadachi Vípero;Material muy raro de Tobi-Kadachi Vípero, obtenido cortándolo tras abatirlo. Afilado y útil para armas.
Espina Tobi-Kadachi Vípero;Material muy raro de Tobi-Kadachi Vípero, obtenido al romperle el cráneo. Añade propiedades de veneno.
Córtex de Banbaro;Material muy raro de Banbaro, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Lomo de Banbaro;Material muy raro de Banbaro, obtenido sobre todo como recompensa. Sólido, se usa para crear equipo.
Gran cuerno de Banbaro;Material muy raro de Banbaro, obtenido rompiendo sus cuernos. Robusto, útil para crear armas.
Látigo de Banbaro;Material muy raro de Banbaro, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Escama de Anjanath;Material de Anjanath, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Escama de Anjanath+;Raro material de Anjanath, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de Anjanath;Material muy raro de Anjanath, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Piel de Anjanath;Material de Anjanath, obtenido como recompensa. Resistente al calor, útil para equipo.
Piel de Anjanath+;Raro material de Anjanath, obtenido sobre todo como recompensa. Resistente al calor, útil para equipo.
Pelo de Anjanath;Material muy raro de Anjanath, obtenido sobre todo como recompensa. Resiste el calor y se usa en equipo.
Colmillo de Anjanath;Material de Anjanath, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Colmillo de Anjanath+;Raro material de Anjanath, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Colmillo duro de Anjanath;Material muy raro de Anjanath, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Hueso nasal de Anjanath;Material de Anjanath, obtenido al romperle el cráneo. Raro, para equipo muy selecto.
Hueso nasal de Anjanath+;Raro material de Anjanath, obtenido al romperle el cráneo. Raro, para equipo muy selecto.
Hueso nasal pesado de Anjanath;Material muy raro de Anjanath, obtenido al romperle el cráneo. Raro, para equipo muy selecto.
Cola de Anjanath;Material de Anjanath, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Látigo de Anjanath;Material muy raro de Anjanath, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Placa de Anjanath;Material de Anjanath. Un hallazgo útil, ya que es difícil de encontrar y se usa para fortificar equipo.
Gema de Anjanath;Una rara gema formada entre los tejidos de un Anjanath. Se usa para grandes mejoras en el equipo.
Manto de Anjanath;Material muy raro de Anjanath. Se usa para armas tan poderosas que podrían conquistar el mundo.
Esquirla de Anjanath Fulgúreo;Material muy raro de Anjanath Fulgúreo, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Pelaje de Anjanath Fulgúreo;Material muy raro de Anjanath Fulgúreo. Obtenido sobre todo como recompensa. Útil para crear equipo.
Colmillo duro de Anjanath Fulgúreo;Material muy raro de Anjanath Fulgúreo. Obtenido rompiéndole el cráneo. Útil para crear armas.
Hueso nasal pesado Anja Fulgúreo;Material muy raro de Anjanath Fulgúreo. Obtenido rompiéndole el cráneo. Tiene una composición única.
Látigo de Anjanath Fulgúreo;Material muy raro de Anjanath Fulgúreo. Obtenido de su cola cercenada. Útil para crear equipo.
Manto de Anjanath Fulgúreo;Material de Anjanath Fulgúreo raro. Con él se crean armas tan poderosas como para conquistar el mundo.
Escama de Rathian;Material de Rathian, a menudo obtenido cortándola tras abatirla. Tiene muchas utilidades.
Escama de Rathian+;Raro material de Rathian, a menudo obtenido cortándola tras abatirla. Tiene muchas utilidades.
Esquirla de Rathian;Material muy raro de Rathian, obtenido sobre todo cortándola tras abatirlo Tiene muchas utilidades.
Caparazón de Rathian;Material de Rathian, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Coraza de Rathian;Raro material de Rathian, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Córtex de Rathian;Raro material de Rathian, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Membrana de Rathian;Material de Rathian, obtenido rompiéndole las alas. Flexible, útil para crear equipo.
Tejido de Rathian;Material muy raro de Rathian, obtenido rompiéndole las alas. Flexible, útil para crear equipo.
Púa de Rathian;Material de Rathian, obtenido cortando su cola cercenada. Tiene propiedades venenosas.
Púa de Rathian+;Raro material de Rathian, obtenido cortando su cola cercenada. Tiene propiedades venenosas.
Aguja de Rathian;Material muy raro de Rathian, obtenido cortando su cola cercenada. Tiene propiedades venenosas.
Placa de Rathian;Material de Rathian. Un hallazgo útil, ya que es difícil de encontrar y se usa para fortificar equipo.
Rubí de Rathian;Extraña joya formada entre los tejidos de una Rathian. Se usa para mejoras de equipo extraordinarias.
Manto de Rathian;Material muy raro de Rathian. Se usa para armas tan poderosas que podrían conquistar el mundo.
Escama de Rathian Rosa+;Raro material de Rathian Rosa, a menudo obtenido cortándola tras abatirla. Tiene muchas utilidades.
Esquirla de Rathian Rosa;Material muy raro de Rathian Rosa, a menudo obtenido cortándola tras abatirla. Tiene muchas utilidades.
Coraza de Rathian Rosa;Raro material de Rathian Rosa, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Córtex de Rathian Rosa;Material muy raro de Rathian Rosa, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Esquirla de Rathian Dorada;Material muy raro de Rathian Dorada. Obtenida sobre todo cortándola tras abatirla. Tiene muchas propiedades.
Córtex de Rathian Dorada;Material muy raro de Rathian Dorada, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Aguja de Rathian Dorada;Material muy raro de Rathian Dorada. Obtenido cortando su cola cercenada. Es compatible con el veneno.
Escama de Tzitzi-Ya-Ku;Material de Tzitzi-Ya-Ku, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Escama de Tzitzi-Ya-Ku+;Raro material de Tzitzi-Ya-Ku, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de Tzitzi-Ya-Ku;Material muy raro de Tzitzi-Ya-Ku, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Piel de Tzitzi-Ya-Ku;Material de Tzitzi-Ya-Ku, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Piel de Tzitzi-Ya-Ku+;Raro material de Tzitzi-Ya-Ku, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Piel gruesa de Tzitzi-Ya-Ku;Material muy raro de Tzitzi-Ya-Ku, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Garra de Tzitzi-Ya-Ku;Material de Tzitzi-Ya-Ku, obtenido sobre todo cortándolo tras abatirlo. Afilado y útil para crear armas.
Garra de Tzitzi-Ya-Ku+;Raro material de Tzitzi-Ya-Ku, obtenido sobre todo cortándolo tras abatirlo. Afilado y útil para armas.
Garra dura de Tzitzi-Ya-Ku;Material muy raro de Tzitzi-Ya-Ku, obtenido sobre todo cortándolo tras abatirlo. Afilado y útil para armas.
Fotóforo de Tzitzi-Ya-Ku;Material de Tzitzi-Ya-Ku, obtenido al romperle los órganos pulsantes. Raro, para equipo muy selecto.
Fotóforo de Tzitzi-Ya-Ku+;Raro material de Tzitzi-Ya-Ku, obtenido al romperle los órganos pulsantes. Raro, para equipo muy selecto.
Fotomembrana de Tzitzi-Ya-Ku;Material muy raro de Tzitzi-Ya-Ku, obtenido al romperle los órganos pulsantes. Para equipo muy selecto.
Piel de Paolumu;Material de Paolumu, obtenido sobre todo como recompensa. Tiene usos muy diversos.
Piel de Paolumu+;Raro material de Paolumu, obtenido sobre todo como recompensa. Tiene usos muy diversos.
Pelaje de Paolumu;Material muy raro de Paolumu, obtenido sobre todo como recompensa. Tiene usos muy diversos.
Escama de Paolumu;Material de Paolumu, obtenido sobre todo cortándolo tras abatirlo. Sólido, útil para crear equipo.
Escama de Paolumu+;Raro material de Paolumu, obtenido sobre todo cortándolo tras abatirlo. Sólido, útil para crear equipo.
Esquirla de Paolumu;Material muy raro de Paolumu, obtenido sobre todo cortándolo tras abatirlo. Sólido, útil para equipo.
Caparazón de Paolumu;Material de Paolumu, obtenido al romperle la cola. Tiene muchas propiedades.
Coraza de Paolumu+;Raro material de Paolumu, obtenido al romperle la cola. Tiene muchas propiedades.
Córtex de Paolumu;Material muy raro de Paolumu y de sus subespecies. Obtenido al romperle la cola.
Membrana de Paolumu;Material de Paolumu, obtenido al romperle las alas. Ligero y útil para crear equipo.
Ala de Paolumu;Raro material de Paolumu que se obtiene al romperle las alas. Ligero y usado a menudo para elaborar armaduras.
Aladura de Paolumu;Material muy raro de Paolumu, obtenido al romperle las alas. Ligero, útil para crear equipo.
Pelaje de Paolumu Somnus;Material muy raro de Paolumu Somnus, obtenido sobre todo como recompensa. Tiene usos muy diversos.
Esquirla de Paolumu Somnus;Material muy raro de Paolumu Somnus, obtenido sobre todo cortándolo. Tiene usos muy diversos.
Aladura de Paolumu Somnus;Material muy raro de Paolumu Somnus, obtenido rompiendo sus alas. Ligero y útil para equipo.
Escama de Gran Girros;Material de Gran Girros, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Escama de Gran Girros+;Raro material de Gran Girros, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de Gran Girros;Material muy raro de Gran Girros, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Piel de Gran Girros;Material de Gran Girros, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Piel de Gran Girros+;Raro material de Gran Girros, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Piel gruesa de Gran Girros;Material muy raro de Gran Girros, obtenido sobre todo como recompensa. Flexible, muy práctico para equipo.
Capucha de Gran Girros;Material de Gran Girros, obtenido al romperle el cráneo. Raro, y difícil de trabajar.
Capucha de Gran Girros+;Raro material de Gran Girros, obtenido al romperle el cráneo. Raro, para equipo muy selecto.
Capucha dura de Gran Girros;Material muy raro de Gran Girros, obtenido al romperle el cráneo. Raro, para equipo muy selecto.
Colmillo de Gran Girros;Material de Gran Girros, obtenido al romperle el cráneo. Con propiedades paralizantes.
Colmillo de Gran Girros+;Raro material de Gran Girros, obtenido al romperle el cráneo. Añade propiedades paralizantes.
Colmillo duro de Gran Girros;Material muy raro de Gran Girros, obtenido al romperle el cráneo. Añade propiedades paralizantes.
Cola de Gran Girros;Material de Gran Girros, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Látigo de Gran Girros;Material muy raro de Gran Girros, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Escama de Radobaan;Material de Radobaan, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Escama de Radobaan+;Raro material de Radobaan, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de Radobaan;Material muy raro de Radobaan, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Caparazón de Radobaan;Material de Radobaan, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Coraza de Radobaan;Raro material de Radobaan, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Córtex de Radobaan;Material muy raro de Radobaan, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Aceite de Radobaan;Material de Radobaan, obtenido cortando su cola cercenada. Útil por su resistencia a los impactos.
Aceite de Radobaan+;Material muy raro de Radobaan, obtenido cortando su cola cercenada. Muy resistente a los impactos.
Hueso de wyvern;Material de Radobaan, obtenido tras dejarlo caer el monstruo. Muy denso y con muchas utilidades.
Gran hueso de wyvern;Material muy raro de Radobaan, obtenido tras desprenderse de él. Muy denso y con muchas utilidades.
Tuétano de Radobaan;Material de Radobaan. Un hallazgo útil, ya que es difícil de encontrar y se usa para fortificar equipo.
Médula de Radobaan;Material peculiar de Radobaan. De gran valor debido a su rareza. Se usa para fortificar equipo.
Escama de Legiana;Material de Legiana, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Escama de Legiana+;Raro material de Legiana, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de Legiana;Material muy raro de Legiana, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Piel de Legiana;Material de Legiana, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Piel de Legiana+;Raro material de Legiana, obtenido sobre todo como recompensa. Ligero y útil para crear armadura.
Piel gruesa de Legiana;Material muy raro de Legiana, obtenido sobre todo como recompensa. Ligero y útil para crear equipo.
Garra de Legiana;Material de Legiana, obtenido sobre todo cortándolo tras abatirlo. Añade propiedades de hielo.
Garra de Legiana+;Raro material de Legiana, obtenido sobre todo cortándolo tras abatirlo. Añade propiedades de hielo.
Garra dura de Legiana;Material muy raro de Legiana, obtenido sobre todo cortándolo tras abatirlo. Añade el poder del hielo.
Membrana de Legiana;Material de Legiana, obtenido al romperle las alas. Flexible, muy práctico para equipo.
Ala de Legiana;Raro material de Legiana, obtenido al romperle las alas. Flexible, muy práctico para equipo.
Aladura de Legiana;Material muy raro de Legiana, obtenido al romperle las alas. Flexible, muy práctico para equipo.
Membrana de cola de Legiana;Material de Legiana, obtenido al romperle la cola. Flexible, muy práctico para equipo.
Membrana de cola de Legiana+;Material muy raro de Legiana, obtenido al romperle la cola. Flexible, muy práctico para equipo.
Placa de Legiana;Material de Legiana. Un hallazgo útil, ya que es difícil de encontrar y se usa para fortificar equipo.
Gema de Legiana;Una rara gema formada entre los tejidos de un Legiana. Se usa para grandes mejoras de equipo.
Manto de Legiana;Material muy raro de Legiana. Se usa para armas tan poderosas que podrían conquistar el mundo.
Piel escarchada;Material de Legiana Aullador muy raro, obtenido como recompensa. Ligero y útil para crear equipo.
Garra de hielo de obsidiana;Material Legiana Aullador muy raro, obtenido cortándolo tras abatirlo. Añade propiedades de hielo.
Ala inhóspita;Material Legiana Aullador muy raro, obtenido al romperle las alas. Flexible, muy práctico para equipo.
Escama de Odogaron;Material de Odogaron, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Escama de Odogaron+;Raro material de Odogaron, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Esquirla de Odogaron;Material muy raro de Odogaron, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Tendón de Odogaron;Material de Odogaron, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Tendón de Odogaron+;Raro material de Odogaron, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Tendón duro de Odogaron;Material muy raro de Odogaron, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Garra de Odogaron;Material de Odogaron, obtenido al romperle las patas delanteras. Afilado y útil para crear armas.
Garra de Odogaron+;Raro material de Odogaron, obtenido al romperle las patas delanteras. Afilado y útil para crear armas.
Garra dura de Odogaron;Material muy raro de Odogaron, obtenido de sus patas delanteras. Afilado y útil para crear armas.
Colmillo de Odogaron;Material de Odogaron, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Colmillo de Odogaron+;Raro material de Odogaron, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Colmillo duro de Odogaron;Material muy raro de Odogaron, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Cola de Odogaron;Material de Odogaron, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Látigo de Odogaron;Material muy raro de Odogaron, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Placa de Odogaron;Material de Odogaron. Un hallazgo útil, ya que es difícil de encontrar y se usa para fortificar equipo.
Gema de Odogaron;Una rara gema formada entre los tejidos de un Odogaron. Se usa para grandes mejoras de equipo.
Manto de Odogaron;Material muy raro de Odogaron. Se usa para armas tan poderosas que podrían conquistar el mundo.
Esquirla de Odogaron Ébano;Material muy raro de Odogaron Ébano, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.
Tendón duro de Odogaron Ébano;Material muy raro de Odogaron Ébano, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.
Garra dura de Odogaron Ébano;Material muy raro de Odogaron Ébano, obtenido de sus patas delanteras. Afilado y útil para crear armas.
Colmillo duro de Odogaron Ébano;Material muy raro de Odogaron Ébano, obtenido al romperle el cráneo. Afilado y útil para crear armas.
Látigo de Odogaron Ébano;Material muy raro de Odogaron Ébano, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.
Manto de Odogaron Ébano;Raro material de Odogaron Ébano. Se usa para crear armas tan poderosas como para conquistar el mundo.
Escama de Rathalos;Material de Rathalos, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Escama de Rathalos+;Raro material de Rathalos, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Esquirla de Rathalos;Material muy raro de Rathalos, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas utilidades.
Caparazón de Rathalos;Material de Rathalos, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Coraza de Rathalos;Raro material de Rathalos, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Córtex de Rathalos;Material muy raro de Rathalos, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Membrana de Rathalos;Material de Rathalos, obtenido rompiéndole las alas. Flexible, útil para crear equipo.
Ala de Rathalos;Raro material de Rathalos, obtenido rompiéndole las alas. Flexible, útil para crear equipo.
Aladura de Rathalos;Material muy raro de Rathalos, obtenido rompiéndole las alas. Flexible, útil para crear equipo.
Cola de Rathalos;Material de Rathalos, obtenido cortando su cola cercenada. Contiene el elemento fuego.
Látigo de Rathalos;Material muy raro de Rathalos, obtenido cortando su cola cercenada. Compatible con el elemento fuego.
Garra de Rath;Material de Rathian y Rathalos obtenido al romperles las alas. Tiene un filo muy cortante, útil para crear armas.
Garra de Rath+;Material muy raro de Rathian y Rathalos. Obtenido cortándolo tras romperles las alas.
Tuétano de Rath;Material de Rathalos, a menudo obtenido cortándolo tras abatirlo. Añade propiedades de fuego.
Médula de Rathalos;Raro material de Rathalos, obtenido cortándolo tras abatirlo. Da propiedades de fuego.
Placa de Rathalos;Material de Rathalos. Un hallazgo útil, ya que es difícil de encontrar y se usa para fortificar equipo.
Rubí de Rathalos;Gema rara y supuestamente hallada en el interior de un Rathalos. Casi demasiado bella para usarla.
Manto de Rathalos;Material muy raro de Rathalos. Se usa para armas tan poderosas que podrían conquistar el mundo.
Escama de Rathalos Celeste+;Raro material de Rathalos Celeste, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Esquirla de Rathalos Celeste;Material muy raro de Rathalos Celeste, obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Coraza de Rathalos Celeste;Raro material de Rathalos Celeste, obtenido a menudo como recompensa. Sólido y útil para crear equipo.
Córtex de Rathalos Celeste;Material muy raro de Rathalos Celeste, obtenido como recompensa. Sólido y útil para crear equipo.
Cola de Rathalos Celeste;Raro material de Rathalos Celeste, obtenido cortando su cola cercenada. Compatible con el elemento fuego.
Látigo de Rathalos Celeste;Material muy raro de Rathalos Celeste, obtenido cortando su cola cercenada. Compatible con el fuego.
Ala de Rathalos Celeste;Raro material de Rathalos Celeste, obtenido al romperle las alas. Flexible, útil para crear equipo.
Aladura de Rathalos Celeste;Material muy raro de Rathalos Celeste, obtenido al romperle las alas. Flexible, útil para equipo.
Esquirla de Rathalos Plateado;Material muy raro de Rathalos Plateado, obtenido cortándolo tras abatirlo. Tiene muchas utilidades.
Córtex de Rathalos Plateado;Material muy raro de Rathalos Plateado, obtenido como recompensa. Sólido y útil para crear equipo.
Aladura de Rathalos Plateado;Material muy raro de Rathalos Plateado, obtenido al romperle las alas. Flexible, útil para equipo.
